Date;Price (EUR/kWh);Storage (TWh)
01.09.22;0,0963;1398080,85
01.08.22;0,0851;1356585,81
01.07.22;0,0789;1313511,97
01.06.22;0,0735;920667,32
01.05.22;0,0666;740665,53
01.04.22;0,0572;579248,97
01.03.22;0,0519;735023,96
01.02.22;0,0465;1028303,58
01.01.22;0,0383;1246576,58
01.12.21;0,0327;1484946,69
01.11.21;0,0264;1577845,68
01.10.21;0,0221;1355884,07
01.09.21;0,0625;1322702,29
01.08.21;0,0437;1006612,42
01.07.21;0,0359;866403,33
01.06.21;0,0288;628322,90
01.05.21;0,0252;591095,17
01.04.21;0,0207;623010,74
01.03.21;0,0180;866474,15
01.02.21;0,0179;1337029,83
01.01.21;0,0200;1806053,77
01.12.20;0,0160;2104684,24
01.11.20;0,0138;2021282,16
01.10.20;0,0139;2139297,33
01.09.20;0,0109;1887469,39
01.08.20;0,0073;1964481,19
01.07.20;0,0052;1828322,79
01.06.20;0,0050;1902326,60
01.05.20;0,0051;1511530,03
01.04.20;0,0070;1797675,74
01.03.20;0,0091;1723018,34
01.02.20;0,0100;2020405,97
01.01.20;0,0119;2066430,07
01.12.19;0,0136;2242018,80
01.11.19;0,0147;2307375,90
01.10.19;0,0103;2190366,07
01.09.19;0,0096;2011631,68
01.08.19;0,0102;2007007,90
01.07.19;0,0110;1816200,76
01.06.19;0,0105;1317230,13
01.05.19;0,0140;1195392,70
01.04.19;0,0157;1287181,52
01.03.19;0,0163;1322148,50
01.02.19;0,0186;1662593,00
01.01.19;0,0221;1780019,61
01.12.18;0,0241;2006666,73
01.11.18;0,0249;1902358,94
01.10.18;0,0261;1649914,33
01.09.18;0,0277;1518437,87
01.08.18;0,0238;1159210,87
01.07.18;0,0223;917584,47
01.06.18;0,0220;640653,87
01.05.18;0,0216;375203,20
01.04.18;0,0195;417972,39
01.03.18;0,0240;961928,93
01.02.18;0,0202;1265567,52
01.01.18;0,0188;1578722,32
01.12.17;0,0207;2131765,53
01.11.17;0,0195;2071985,81
01.10.17;0,0174;1907167,63
01.09.17;0,0171;1566148,39
01.08.17;0,0159;1368510,77
01.07.17;0,0151;989177,52
01.06.17;0,0153;765352,23
01.05.17;0,0159;730564,03
01.04.17;0,0163;680586,23
01.03.17;0,0162;782783,52
01.02.17;0,0200;1199284,48
01.01.17;0,0201;1599246,27
01.12.16;0,0178;2091670,10
01.11.16;0,0180;2148931,83
01.10.16;0,0159;2133753,67
01.09.16;0,0123;1856044,80
01.08.16;0,0122;1741570,74
01.07.16;0,0144;1506006,48
01.06.16;0,0144;1317558,74
01.05.16;0,0130;1203853,87
01.04.16;0,0122;1043757,84
01.03.16;0,0125;1210828,45
01.02.16;0,0129;1377004,81
01.01.16;0,0145;1418286,39
01.12.15;0,0159;1710831,76
01.11.15;0,0175;1504145,06
